fips,clean_county,year,population,building_permits,unemployment_rate,permits_per_1k,Permits_Per_1000,Price Index
47037,Davidson,2020,716153,3980.0,8.176923076923076,5.557471657592721,5.557471657592721,417.5875
47119,Maury,2020,101812,1347.0,7.969230769230768,13.230267551958512,13.230267551958512,417.5875
47149,Rutherford,2020,343285,2744.0,7.084615384615384,7.993358288302723,7.993358288302723,417.5875
47165,Sumner,2020,197416,1284.0,6.676923076923076,6.504032094663047,6.504032094663047,417.5875
47187,Williamson,2020,249614,1798.0,4.976923076923077,7.203121619780942,7.203121619780942,417.5875
47037,Davidson,2021,701450,3857.0,4.361538461538462,5.498610022097084,5.498610022097084,486.2075
47119,Maury,2021,105005,,4.823076923076924,,,486.2075
47149,Rutherford,2021,351202,3278.0,3.5846153846153848,9.333659831094357,9.333659831094357,486.2075
47165,Sumner,2021,200578,1604.0,3.5307692307692307,7.99688899081654,7.99688899081654,486.2075
47187,Williamson,2021,256192,,2.715384615384615,,,486.2075
47037,Davidson,2022,712156,3884.0,2.838461538461538,5.453861232651273,5.453861232651273,594.3125
47119,Maury,2022,108048,1599.0,2.9923076923076923,14.798978231896935,14.798978231896935,594.3125
47149,Rutherford,2022,362373,2144.0,2.707692307692308,5.916555593269918,5.916555593269918,594.3125
47165,Sumner,2022,204002,1549.0,2.8,7.593062813109675,7.593062813109675,594.3125
47187,Williamson,2022,261335,1582.0,2.507692307692308,6.053532821857004,6.053532821857004,594.3125
47037,Davidson,2023,720989,2956.0,2.661538461538462,4.099923854594176,4.099923854594176,632.78
47119,Maury,2023,111022,1219.0,2.7,10.979805804255012,10.979805804255012,632.78
47149,Rutherford,2023,370483,2636.0,2.6,7.1150363174558615,7.1150363174558615,632.78
47165,Sumner,2023,208501,1302.0,2.661538461538462,6.244574366549801,6.244574366549801,632.78
47187,Williamson,2023,264898,1565.0,2.569230769230769,5.907934374740466,5.907934374740466,632.78
47037,Davidson,2024,736623,2519.0,2.8307692307692305,3.4196597173859624,3.4196597173859624,666.9575
47119,Maury,2024,114456,1463.0,3.0307692307692307,12.782204515272245,12.782204515272245,666.9575
47149,Rutherford,2024,380086,2818.0,2.7384615384615385,7.4141115431770706,7.4141115431770706,666.9575
47165,Sumner,2024,212181,1514.0,2.815384615384616,7.13541740306625,7.13541740306625,666.9575
47187,Williamson,2024,268486,1271.0,2.6846153846153844,4.733952608329671,4.733952608329671,666.9575
47037,Davidson,2025,745904,1939.0,2.9916666666666667,2.599530234453763,2.599530234453763,691.2975
47119,Maury,2025,118131,965.0,3.608333333333333,8.16889724119833,8.16889724119833,691.2975
47149,Rutherford,2025,386352,1881.0,2.908333333333333,4.8686172195303765,4.8686172195303765,691.2975
47165,Sumner,2025,215538,1109.0,2.966666666666667,5.145264408132209,5.145264408132209,691.2975
47187,Williamson,2025,272061,879.0,2.775,3.2308930717743447,3.2308930717743447,691.2975
